6011200;2;15;30;4,25
6011200;4;20;50;4,25
6011200;6;30;70;4,25
6011200;8;30;100;4,25
6012490;2;4;4;19
6012490;4;6;6;19
6012490;6;8;8;19
6012490;8;10;10;19
6012540;2;2;2;19
6012540;4;3;3;19
6012540;6;5;4;19
6012540;8;7;4;19
6013260;2;2;2;25
6013260;4;2;2;25
6013260;6;2;2;25
6013260;8;3;3;25
6012600;2;2;2;24
6012600;4;2;2;24
6012600;6;2;2;24
6012600;8;3;3;24
6012640;2;3;3;22
6012640;4;3;3;22
6012640;6;3;3;22
6012640;8;3;3;22
6012620;2;6;6;24
6012620;4;10;10;24
6012620;6;16;16;24
6012620;8;20;20;24
6012680;2;2;2;20
6012680;4;2;2;20
6012680;6;2;2;20
6012680;8;2;2;20
6013090;2;2;2;16
6013090;4;2;2;16
6013090;6;2;2;16
6013090;8;3;3;16
6012850;2;2;2;15
6012850;4;2;2;15
6012850;6;4;4;15
6012850;8;4;4;15
6012960;2;4;4;20
6012960;4;4;4;20
6012960;6;4;4;20
6012960;8;6;6;20
6012810;2;10;10;20
6012810;4;16;16;20
6012810;6;20;20;20
6012810;8;30;30;20
6039580;2;2;2;20
6039580;4;2;2;20
6039580;6;2;2;20
6039580;8;4;4;20
6013140;2;10;10;20
6013140;4;16;16;20
6013140;6;20;20;20
6013140;8;20;20;20
6021250;2;2;2;168
6021250;4;2;2;168
6021250;6;4;4;168
6021250;8;2;2;168
6019010;2;2;2;6,5
6019010;4;2;2;6,5
6019010;6;4;4;6,5
6019010;8;6;6;6,5
6019630;2;1;1;160
6019630;4;1;1;160
6019630;6;1;1;160
6019630;8;1;1;160
6021000;2;1;1;6
6021000;4;1;1;6
6021000;6;2;2;6
6021000;8;2;2;6
6021010;2;1;1;29
6021010;4;2;2;29
6021010;6;2;2;29
6021010;8;3;3;29
6021630;2;0;0;125
6021630;4;0;0;125
6021630;6;5;15;125
6021630;8;0;0;125
6011260;2;0;0;95
6011260;4;0;0;95
6011260;6;0;0;95
6011260;8;0;0;95
6011280;2;5;15;105
6011280;4;5;15;105
6011280;6;0;0;105
6011280;8;10;40;105
6040460;2;1;1;420
6040460;4;2;2;420
6040460;6;0;0;420
6040460;8;1;1;420
6040470;2;0;0;997
6040470;4;0;0;997
6040470;6;1;1;997
6040470;8;1;1;997
6012060;2;1;1;825
6012060;4;1;1;825
6012060;6;1;1;825
6012060;8;1;1;825
6012100;2;1;1;825
6012100;4;1;1;825
6012100;6;1;1;825
6012100;8;1;1;825
